가게 이름,별점,리뷰 수,태그들
돈별락,0,0,
오렌지,0,0,
티파니,0,0,
팝콘,0,0,#제로페이
2070포차,0,0,#제로페이
소문난상계감자탕,5.0,6,
임보겸초밥,4.7,19,#제로페이
1988옛날통닭 상계역점,0,0,
신초밥,5.0,2,"#점심식사, #제로페이"
옛날냉면,0,0,
하오츠,0,0,
응응스크르,0,0,
소한냥,0,0,#제로페이
별일이네 김밥과스파게티,0,0,
다리분식,0,0,
홈푸드월드,0,0,
이조복떡,0,0,
주백야곱,0,0,
임대표 상계점,0,0,
윤가네김밥,5.0,4,#제로페이
,46,,
유부김밥,3.9,32,#제로페이
케이크1221,4.6,5,"#수제케이크, #제로페이"
진땡이,5.0,2,"#점심특선, #혼술"
신우정생오리생삼겹살,5.0,1,"#카카오페이, #제로페이"
시골순대 상계점,4.4,30,"#혼밥, #제로페이"
청도,0,0,#제로페이
족발야시장 상계역점,3.4,25,"#친목모임, #회식장소, #제로페이"
봉평메밀막국수 상계본점,3.6,36,#제로페이
맛닭꼬 상계역점,4.6,8,#제로페이
안녕하소,0,0,
노원상계서서갈비,4.0,6,"#혼술, #제로페이"
돈까스먹는용만이,3.9,80,"#경양식요리, #제로페이"
메밀이야기,5.0,12,
계혁명옛날통닭 당고개점,5.0,4,
캠토토스트커피 상계점,4.8,4,#제로페이
방추남원추어탕,3.6,5,
거북이삼겹살,4.6,13,"#가성비좋은, #점심식사, #점심특선, #친목모임, #회식장소, #제로페이"
곤조참치,4.0,10,#심야식당
차차비어,0,0,
듀아뜰리에,0,0,#떡케이크주문제작
교촌치킨 상계역점,3.1,11,
동막골,0,0,#제로페이
황금포차,5.0,1,#노포
옛고을김치찜&김치찌개,0,0,
고기삼킨냉면 상계점,0,0,
동심원,0,0,"#노원전통주, #분위기좋은, #상계술집, #상계전통주, #전통주점"
두여자쌀국수,0,0,
종로떡집,0,0,#제로페이
피자애 상계점,4.6,5,"#카카오페이, #제로페이"
지원이의정원,5.0,3,
김준호대단한갈비 노원상계역점,5.0,15,"#카카오페이, #제로페이"
가바타코,5.0,2,
깔깔분식,0,0,"#카카오페이, #제로페이"
왕골감자탕 본점,2.4,17,"#안심식당, #24시간식당, #혼밥, #회식장소"
광수네춘천닭갈비 노원점,0,0,
아이스크림할인점,0,0,
오로지라멘,4.7,6,#혼밥
4050라이브날라리,0,0,#제로페이
마시차이나,1.9,27,"#점심식사, #친목모임, #혼밥, #혼술, #제로페이"
화덕피자주는부대찌개 노원점,3.5,11,#데이트코스
기미랑바비랑,5.0,1,"#카카오페이, #제로페이"
부산어묵,4.5,2,#오뎅바
오지,4.1,10,"#분위기좋은, #위스키바, #칵테일바, #혼술"
와플대학 노원역캠퍼스,2.5,20,"#카카오페이, #제로페이"
구법원 고로케 노원역2호점,4.1,26,"#카카오페이, #제로페이"
로니로티 노원점,4.3,76,"#이동약자접근, #제로페이"
쇼부라멘 노원역점,4.3,14,"#혼밥, #제로페이"
파김치솥뚜껑생삼겹살 노원점,0,0,
치즈로,0,0,#제로페이
노원칼국수,3.0,1,"#점심식사, #혼밥"
2000비어 노원점,5.0,3,#제로페이
로쿠 노원본점,0,0,
쪽갈비대통령 노원점,3.9,18,"#데이트코스, #회식장소, #제로페이"
솔솥 노원점,3.5,11,"#혼밥, #카카오페이, #제로페이"
착한집한우 노원1호점,2.0,4,#소고기무한리필
마카나이 노원점,4.4,11,#혼밥
화로리,4.0,4,#제로페이
두끼떡볶이 노원점,2.5,25,"#떡볶이뷔페, #혼밥, #카카오페이, #제로페이"
아비꼬 노원역점,3.5,40,"#점심식사, #혼밥, #제로페이"
형제통골뱅이,0,0,
현경양고기,3.8,47,"#노원역맛집, #노원역양갈비, #노원역양꼬치, #양갈비무한리필, #양꼬치무한리필, #조개구이무한리필, #친목모임, #혼밥, #훠궈무한리필, #제로페이"
우리푸드,0,0,#제로페이
동근이숯불두마리치킨 노원점,4.3,15,"#다트, #세계맥주, #제로페이"
일품칼국수&보쌈,5.0,2,"#카카오페이, #제로페이"
헐리우드맥주창고,0,0,
,14,,
옥탑방고양이,0,0,
육회란연어다 노원점,0,0,
행운빵집,5.0,1,"#돌잔치, #레터링케이크, #비건베이커리, #수제디저트, #케이크주문제작, #제로페이"
본가왕뼈감자탕 노원역점,3.7,22,"#가족모임, #제로페이"
곤,4.8,24,"#데이트코스, #분위기좋은, #칵테일바, #제로페이"
스시노칸도 노원역점,2.5,41,"#친목모임, #혼밥, #혼술, #회식장소, #회전초밥, #제로페이"
새벽스시,5.0,2,"#데이트코스, #분위기좋은, #혼밥, #혼술, #회전초밥, #카카오페이"
아웃닭 노원역점,3.8,20,"#노원맛집, #노원치킨, #순살치킨, #아웃닭, #치킨맛집"
육육곱창 노원점,4.0,4,#제로페이
마찌마찌2 노원점,0,0,
당고개곱창,2.0,1,
인생조개 노원점,5.0,1,"#노원새우, #노원조개, #연포탕, #해산물, #회식, #가족모임, #점심식사, #친목모임"
투쭌스토리,0,0,
모바면가,3.3,21,"#혼밥, #제로페이"
오케이크 노원점,4.9,11,"#레터링케이크, #케이크주문제작, #카카오페이, #제로페이"
틈새라면 노원점,4.3,13,"#혼밥, #제로페이"
닭갈비제작소 노원점,3.5,14,
선학쭈꾸미 노원점,4.8,15,"#낮술하기좋은, #봄제철음식, #이동약자접근, #점심식사, #혼밥, #제로페이"
맘스터치 노원로데오점,3.6,21,"#혼밥, #카카오페이, #제로페이"
셰리프 노원점,0,0,
호치킨 노원역점,3.7,20,#제로페이
떡볶이스타 노원점,3.2,12,"#혼밥, #제로페이"
청년다방 노원역점,4.0,15,"#혼밥, #제로페이"
편편집 노원역점,4.6,19,#제로페이
마당쇠곱창 노원점,4.0,1,
다마식당 노원점,3.4,21,"#노원고기, #노원고기집, #노원삼겹살, #노원역고기집, #노원역삼겹살, #점심식사, #카카오페이, #제로페이"
남도찌개맛집,0,0,#제로페이
밥덩이랑면,0,0,#혼밥
황금맛집,0,0,
만원의행복,0,0,#노포
마이닭,5.0,3,"#노원닭도리탕, #노원대형스크린, #노원덮밥, #노원삼겹살, #닭도리탕, #노포, #이동약자접근"
언니네쭈꾸미,5.0,3,#제로페이
2%그냥술집,0,0,
삼덕식당,3.8,32,"#점심식사, #친목모임, #회식장소, #제로페이"
동보성,0,0,
신사동인동 노원점,5.0,2,
부엌 노원본점,2.9,8,#제로페이
슬로우시티,4.5,23,"#데이트코스, #코스요리, #혼밥, #제로페이"
연가,0,0,#점심식사
쭈꾸미달인 직영2호점,4.5,46,"#봄제철음식, #제로페이"
로우앤에이징,4.6,9,"#노원고기집, #노원맛집, #노원목살, #노원삼겹살, #노원오겹살, #분위기좋은, #소개팅, #제로페이"
설화,3.6,24,#제로페이
파스타입니다 노원점,5.0,1,"#데이트코스, #점심식사, #캐주얼한분위기"
예당떡고을,5.0,1,
두레마을우동집,1.7,15,"#혼밥, #제로페이"
쩝스버거,4.8,35,"#혼밥, #카카오페이, #제로페이"
카페그리고2,0,0,
신전떡볶이 노원점,2.5,14,"#혼밥, #제로페이"
함흥식찹쌀순대,3.6,10,#혼밥
브레드원 노원점,2.7,7,#제로페이
대한닭발1979 노원점,5.0,1,
디비 명동칼국수,3.3,12,"#점심식사, #혼밥, #제로페이"
,132,,
예촌밥상,3.3,6,#제로페이
와와쪽갈비 노원점,4.8,6,
핫플족,0,0,
류선생닭개장,5.0,7,"#닭개장, #도가니탕, #얼큰수제비, #노원역, #상계동, #혼밥, #제로페이"
덮밥장사장 노원점,3.8,19,#혼밥
또봉이통닭 서울노원역점,3.0,1,
창신동매운족발 노원점,0,0,
나승준함흥냉면,4.2,20,"#경양식요리, #혼밥, #제로페이"
세븐돈까스김밥 노원점,2.4,8,"#24시간식당, #점심식사, #혼밥, #제로페이"
직화욱이짬뽕,4.9,11,
달콤제빵소,2.8,39,"#베이커리카페, #제로페이"
부부닭한마리,4.2,15,#제로페이
오달,3.9,12,
이흥선참치,0,0,
깊이울오리,5.0,4,#제로페이
명동찌개마을 노원역점,4.0,7,"#노포, #점심식사, #제로페이"
갯마을고향의맛,4.8,4,"#전통음식, #점심식사, #제로페이"
제주마을,3.9,12,"#가성비좋은, #낮술하기좋은, #친목모임, #회식장소, #제로페이"
노원목고기집,4.4,37,"#노포, #제로페이"
라라맨숀 노원점,5.0,8,"#카카오페이, #제로페이"
육호하우스 본점,3.7,3,"#친목모임, #혼밥, #회식장소"
사랑회수산,2.6,12,#제로페이
윤호네착한메밀,4.4,9,"#혼밥, #제로페이"
동적깡통구이 노원직영점,0,0,
먹다반하다,0,0,
삼오집,0,0,
손큰할매순대국 노원역점,4.3,3,
황제보쌈냉면칼국수,5.0,2,#혼밥
꼬꼬방 집으로 삼겹 노원점,5.0,2,#제로페이
호남집,0,0,
,38,,
별별장어,4.6,7,"#가족모임, #가족행사, #건강식, #무인카페, #점심특선, #친목모임, #회식장소, #제로페이"
진품닭,0,0,
갈대숲카페,0,0,
찜닭&닭도리달인 상계점,0,0,
비돈이제돈이 서울상계점,0,0,
두찜 노원역점,0,0,
엄나무순대국,0,0,
영자네곱창 상계점,0,0,#노포
단이네벌교꼬막 노원점,4.0,2,"#점심식사, #점심특선, #제로페이"
상상오리 노원역점,5.0,1,#제로페이
페리카나 상계역점,3.2,5,#제로페이
상계호프,0,0,#제로페이
반반한찜닭&닭도리탕,0,0,
,12,,
부자밥상,0,0,
퓨전회포차,2.7,3,#제로페이
처갓집양념치킨 상계점,5.0,1,#제로페이
불난떡볶이 노원점,0,0,
시카고,0,0,
꽃반지,0,0,
김씨네푸드,0,0,
배달의쌀국수 노원점,5.0,1,
산전수전,0,0,#제로페이
벤츠,0,0,
마스타,0,0,
공주닭발 노원점,0,0,
골목안창살,5.0,5,"#노포, #친목모임, #제로페이"
뽀식이네식당,0,0,#제로페이
대연마니커,0,0,
빅타임 중앙시장점,0,0,
옛날팥죽,0,0,
옛날그집,0,0,#제로페이
보름기정떡 노원상계점,4.0,1,#제로페이
마왕족발 상계점,4.3,3,#제로페이
은혜식당,0,0,#제로페이
수빈커피숖,0,0,#제로페이
순수치킨 서울상계점,0,0,
알통떡강정 서울상계점,2.5,2,
소문난 순대집,2.5,2,#제로페이
가마골,0,0,
별자리,0,0,
번쩍피자 노원점,5.0,1,
홍두깨칼국수,0,0,#제로페이
진초밥,0,0,
류가네보리밥,5.0,1,
주촌식당,5.0,1,#제로페이
펠리스,0,0,
소문난 손만두,4.0,3,#제로페이
백작,0,0,
장수식품두부마을,0,0,
찌개마을,0,0,
오떡 상계점,0,0,
종로떡방,3.0,2,#제로페이
장가네왕만두,0,0,
만리향,4.0,3,#제로페이
오튀떡볶이,4.0,1,#제로페이
전라도추어탕,5.0,1,#제로페이
오페라,0,0,
초원부페,0,0,
중앙사철탕,0,0,
나루터,0,0,
썬,0,0,
앵두,0,0,
수락산보신탕,0,0,
강커피&호프,0,0,#제로페이
문가네 대박집삼겹살전문점,5.0,3,#제로페이
토속순창왕순대,4.3,13,"#혼밥, #제로페이"
오늘은스파게티,0,0,
진담족발 노원상계점,3.0,2,"#진담족발, #노원맛집, #노원상계족발, #노원족발맛집, #노원역족발, #친목모임"
장단칼국수,0,0,
라망,0,0,#제로페이
미소빵집,3.5,2,#제로페이
해담,5.0,2,#제로페이
궁전,0,0,#제로페이
박기철떡공방 연회,0,0,"#분위기좋은, #제로페이"
가희,0,0,
솔향기,0,0,#제로페이
할머니가래떡볶이 노원본점,4.0,1,
두뽂스 노원본점,0,0,
바론식당,3.6,5,"#이동약자접근, #점심식사, #한식뷔페, #혼밥, #제로페이"
속초킹김밥&도시락 상계점,5.0,1,"#건강식, #혼밥"
달려라식당,0,0,#제로페이
돈까스오케이,0,0,
레몬하임,0,0,#카카오페이
오뚜기식당,0,0,
호둘이네,0,0,
맛짱칼국수,0,0,
샐러리아 상계점,0,0,
방추남원 추어탕 본점(삼창프라자),4.7,3,"#남원추어탕, #상계동추어탕, #상계역추어탕, #중계동추어탕, #추어탕, #건강식"
배스킨라빈스 상계역점,2.3,18,"#카카오페이, #제로페이"
죠스떡볶이 상계역점,4.3,3,#혼밥
박정자할매족발보쌈 중계4동점,0,0,
화로상회 상계역점,3.7,29,"#고기뷔페, #삼겹살무한리필, #친목모임, #회식장소, #제로페이"
착한낙지,0,0,
상계원조떡볶이,2.7,3,#제로페이
bob꼬마김밥,5.0,3,
정원수제만두,0,0,#제로페이
파리바게뜨 상계역점,2.8,5,"#카카오페이, #제로페이"
수정아구찜,4.0,3,#제로페이
홍장군,0,0,
조개나라 상계본점,3.0,3,#친목모임
온달왕돈까스 상계점,3.6,25,"#경양식요리, #노포, #혼밥, #제로페이"
청정바다수산,0,0,#제로페이
송화강식당,4.5,17,
복촌닭한마리,5.0,4,#제로페이
노랑통닭 상계역점,4.4,7,"#친목모임, #제로페이"
청평더덕쭈꾸미,4.4,5,#제로페이
돌미삼 상계역점,5.0,2,
마장곱창,0,0,
또봉이통닭 서울상계역점,3.2,10,"#간맥, #치맥, #제로페이"
달별아래,5.0,1,"#다이닝펍, #분위기대박, #분위기좋은, #와인다이닝, #퓨전안주, #이동약자접근, #혼술"
이코이바,4.7,3,"#분위기좋은, #제로페이"
수유리닭집 상계역점,5.0,1,"#카카오페이, #제로페이"
평창메밀막국수,3.7,7,#제로페이
따띠삼겹 상계점,0,0,
공포의아구찜탕,4.7,3,"#점심식사, #제로페이"
종로떡방,3.8,4,#제로페이
픽미픽미아이스 상계역점,0,0,#카카오페이
대동원회시장,4.0,2,
미미,3.6,14,#제로페이
아씨네족발,5.0,5,#제로페이
비어체스터,5.0,6,"#세계맥주, #수제맥주, #제로페이"
달콤왕가탕후루 상계역점,2.1,7,
와플대학 상계역캠퍼스,2.6,13,#제로페이
대구뽈찜아구찜탕,0,0,
남원골추어탕,4.8,11,#제로페이
원조상계곱창 상계본점,5.0,2,#제로페이
친구야,0,0,#제로페이
맥주창고,5.0,1,
팔각도 서울 상계역점,4.4,9,"#고기집, #고깃집, #닭갈비, #술집, #회식, #카카오페이, #제로페이"
마마족발,5.0,3,#혼술
멧돌빈대떡,3.3,3,#제로페이
중식당 몽,4.6,5,"#점심식사, #제로페이"
신바우네족발보쌈 상계점,5.0,2,#제로페이
생생도도참치,4.6,10,"#친목모임, #코스요리, #혼술, #제로페이"
,24,,
바다상회해물칼국수 상계점,3.7,3,
골목가마솥바베큐,0,0,
돌판대패,5.0,2,#회식장소
짝태엔노가리 상계역점,0,0,
해신횟집,4.3,10,#제로페이
현방오백소갈비살 상계본점,4.6,7,
맥주창고펍,0,0,
꿀돼지,4.7,3,#제로페이
라화쿵부 상계역점,3.5,11,#혼밥
라화쿵부 중계점,0,0,#혼밥
마라마라박사,0,0,
엄마손돼지불백,3.3,3,"#혼밥, #혼술, #제로페이"
봉심이족발,4.4,8,"#친목모임, #제로페이"
도리연닭도리탕,4.7,3,"#노포, #제로페이"
계림숯불닭갈비,0,0,
고기장수 상계직영점,0,0,
오늘은오징어와광어,3.9,11,
상계돈집,4.5,4,"#가족모임, #드라이에이징, #친목모임"
오사카부루스 상계역점,0,0,
매운집몽,0,0,
이자카야심,2.0,2,#데이트코스
이찌방 상계점,0,0,"#가성비포차, #노원맛집, #노원술집, #상계역맛집, #퓨전이자카야, #제로페이"
안녕초밥&참치,0,0,
육회본가 상계역점,4.0,1,#제로페이
토리긴,0,0,
두찜 상계역점,2.7,3,"#가성비좋은, #친목모임, #제로페이"
마리채 본점,3.2,6,"#정육식당, #제로페이"
메모러블,5.0,1,"#노원와인바, #노원카페, #노원핫플, #상계와인바, #위스키바, #분위기좋은, #소개팅"
달빛돼지,5.0,3,"#모임, #삼겹살, #상계맛집, #친목, #데이트, #제로페이"
오늘놀자,0,0,
죽변항,4.2,5,"#해물포차, #제로페이"
황금코다리 상계역점,4.1,13,"#막걸리무한리필, #점심특선, #제로페이"
양꼬치가,4.0,10,#제로페이
맘스터치 상계역점,2.4,21,#제로페이
종로계림닭도리탕원조 상계역점,4.5,2,#노포
인쌩맥주 상계역점,0,0,
가장맛있는족발 상계역점,0,0,#제로페이
허파집냉면,4.3,10,"#점심특선, #제로페이"
조마루감자탕 상계역점,3.8,9,"#혼밥, #제로페이"
갓튀긴후라이드 상계역점,1.0,1,#제로페이
스프링버몬트스튜디오,0,0,
프랭크버거 중계에이스타워점,3.3,4,"#혼밥, #카카오페이, #제로페이"
엄나무닭곰탕,4.3,7,#혼밥
수유다래함박스텍 중계점,4.2,11,"#경양식요리, #혼밥, #제로페이"
본죽 상계역점,4.0,4,#제로페이
우이동멸치국수 중계점,3.3,8,"#혼밥, #제로페이"
브레드디,4.7,9,#제로페이
피자스쿨 상계삿갓점,3.8,8,#제로페이
BHC치킨 상계역점,4.9,14,#제로페이
신바람찌개전문,4.7,3,
투핫,5.0,2,#제로페이
네네치킨 중계4동점,3.0,3,#제로페이
소문난감자탕뼈해장국,3.6,22,"#혼밥, #제로페이"
대동원회시장,0,0,
이장군 족발보쌈 상계역점,0,0,#제로페이
칠성해물통짬뽕,4.3,61,
주가네아해물아구찜탕,0,0,
안씨네부엌,5.0,1,
친구덮밥,4.7,3,"#혼밥, #제로페이"
일번지식당,1.0,1,
맥주아비 상계역점,4.5,4,"#과일, #마른안주, #이색술집, #치킨과맥주, #퓨전호프, #카카오페이, #제로페이"
채선당 중계점,2.8,5,"#점심식사, #점심특선, #제로페이"
명륜진사갈비 상계역점,3.5,18,"#가족모임, #고기뷔페, #돼지갈비무한리필, #친목모임, #회식장소, #카카오페이, #제로페이"
참만두,3.9,46,#노포
웰빙새싹보리밥 노원점,4.6,5,"#가족모임, #건강식, #점심식사, #친목모임, #혼밥, #제로페이"
미꼬담 롯데백화점노원점,3.5,2,"#가족모임, #점심식사, #친목모임, #제로페이"
하나돈까스 서울롯데노원점,2.2,6,"#혼밥, #제로페이"
차이797 플러스 롯데노원점,1.4,12,#코스요리
스시노백쉐프 노원롯데9호점,1.0,2,
크림바바 롯데백화점노원점,0,0,
파파밸리피자 노원점,0,0,
아이리시포테이토 노원롯데점,0,0,
아이스팩토리 롯데백화점 노원점,0,0,
곤지암소머리국밥,0,0,
우리동네미미네,0,0,
하나스시,0,0,
베떼엠,0,0,
누들바,5.0,1,
마띠노,0,0,
스시덴고쿠,0,0,"#혼밥, #회전초밥"
정순화황토방청국장 롯데백화점 노원점,2.7,9,"#건강식, #전통음식, #혼밥"
홍대개미 롯데백화점 노원점,2.2,10,#혼밥
공수간 노원롯데점,0,0,
로지몬스터아이스크림,0,0,
배스킨라빈스 노원로데오점,2.9,16,"#이동약자접근, #점심식사, #카카오페이, #제로페이"
동경야시장 노원1호점,3.0,2,"#데이트코스, #제로페이"
활어회박사,0,0,
뚜레쥬르 카페노원역점,1.0,5,"#디저트카페, #카카오페이, #제로페이"
신미방마라탕 노원본점,4.0,38,
롯데리아 노원역점,2.9,32,"#혼밥, #카카오페이, #제로페이"
고기싸롱 노원역점,2.9,20,"#가족모임, #고기뷔페, #데이트코스, #돼지고기무한리필, #친목모임, #회식장소"
헨젤과그레텔 노원점,0,0,
춘리마라탕 노원역점,2.5,16,"#점심식사, #혼밥"
달려라하니포차,0,0,
미아리우동집 노원점,3.7,10,"#혼밥, #카카오페이, #제로페이"
1943 노원점,2.8,4,"#대형스크린, #분위기좋은, #술한잔하기좋은"
스시박사,3.3,17,"#혼밥, #제로페이"
라와마라탕 2호점,5.0,9,"#노원맛집, #노원배달, #노원중국집, #마라샹궈, #마라탕, #데이트코스, #혼밥, #제로페이"
용우동 노원역점,5.0,1,#혼밥
썬푸드,0,0,#카카오페이
달콤왕가탕후루 노원점,3.3,17,#제로페이
육쌈냉면 노원점,2.7,22,"#혼밥, #제로페이"
,1885,,
현고대닭발,0,0,
한잔247,3.0,2,
브루웍스 노원점,4.3,3,"#다트, #수제맥주, #피맥"
육회연구소 노원점,5.0,8,
브라운돈까스 노원역점,3.9,87,"#노원돈까스, #노원맛집, #노원역돈까스, #노원역맛집, #노원역밥집, #경양식요리, #이동약자접근, #혼밥"
메리푸드,5.0,1,
타오마라탕 노원점,5.0,13,
닭갈비랑쭈꾸미랑,0,0,
낭풍 노원점,0,0,
엠브로돈까스 노원점,4.5,15,"#경양식요리, #혼밥, #제로페이"
동래정 노원점,4.4,16,"#친목모임, #회식장소, #제로페이"
계화기식당 노원점,0,0,#데이트코스
하르당 노원역점,5.0,1,
오빠카레,5.0,3,"#가성비좋은, #노원역맛집, #돈가스, #카레, #카츠, #혼밥"
얼군집,3.0,8,"#레트로풍, #제로페이"
천하일품,0,0,
화포식당 노원점,4.1,36,"#카카오페이, #제로페이"
보승회관 노원역점,2.6,22,"#혼밥, #혼술, #제로페이"
마라천향미 마라탕 노원점,5.0,10,"#혼밥, #카카오페이"
나리타이자카야 노원점,3.0,2,"#데이트코스, #분위기좋은"
오봉집 노원점,3.2,13,#점심특선
,997,,
장돌이 수제부산어묵,3.4,7,#제로페이
동대문엽기떡볶이 노원역점,2.6,11,#제로페이
니뽕내뽕 노원역점,4.1,11,#혼밥
쭈꾸미달인 노원직영점,3.8,16,"#데이트코스, #봄제철음식, #회식장소, #카카오페이, #제로페이"
돈소야,0,0,
어벙이네,0,0,
곱 끌림 노원점,3.0,7,
롤링파스타 노원역점,3.5,22,"#캐주얼한분위기, #혼밥, #카카오페이, #제로페이"
황보보쌈족발,0,0,
S스타일바,0,0,
참존숯불바베큐치킨,0,0,
호남해물탕아구찜,4.8,11,#혼밥
하이드아웃,4.0,7,"#다트, #대형스크린, #데이트코스, #분위기좋은, #수제맥주, #피맥, #제로페이"
선용에프앤비,0,0,#제로페이
엉터리생고기 무한대패 노원점,3.0,2,
구도로통닭 노원점,2.7,11,"#대형스크린, #제로페이"
화포2,0,0,
달래해장 노원역점,3.0,6,"#24시간식당, #점심식사, #혼밥"
나우에스제이,0,0,#제로페이
오늘술집주다방 서울노원점,0,0,#술한잔하기좋은
직화방이 노원점,0,0,
반란0811,0,0,"#룸술집, #포차주점"
춘천골닭갈비,3.8,24,#제로페이
노원왕곱창,2.5,36,"#회식장소, #제로페이"
에보니,0,0,#제로페이
셀프맥주아프리카 노원역점,0,0,
옛골주막,0,0,
숯불장어닭갈비,3.3,6,
고집불통강곱창 노원점,3.8,25,"#노포, #제로페이"
팔도사나이,4.5,4,"#노포, #민속주점, #제로페이"
술파는빵집,0,0,
귀족생골뱅이,0,0,
짱꼬집 노원역점,3.2,5,
블루빠,0,0,
퓨전포차,3.4,5,#퓨전포차
육연식당,0,0,
오하라,0,0,#라운지펍
잭펍 노원점,0,0,#데이트코스
타코15 노원점,4.3,24,#혼술
졸리&몰트,4.1,8,"#데이트코스, #드라이에이징, #친목모임, #코스요리, #제로페이"
우바,0,0,
톡스라운지,5.0,1,"#데이트코스, #라운지펍, #분위기좋은, #소개팅, #피맥, #혼술"
로바타도겐,0,0,"#소개팅, #혼술, #제로페이"
청춘닭발,2.7,3,
,856,,
을지로통골뱅이,3.1,11,#노포
홍익짬뽕 노원2호점,3.3,44,"#혼밥, #제로페이"
주가네서서갈비 노원점,3.2,9,"#노포, #데이트코스, #점심식사, #친목모임, #제로페이"
윤씨네족보 노원본점,2.6,8,#제로페이
,21,,
이비자바,5.0,1,#다트
한신우동 노원점,5.0,1,#경양식요리
평안도순대국 노원점,3.1,27,"#아침식사, #친목모임, #혼밥, #카카오페이, #제로페이"
귀한족발 노원점,4.7,20,#제로페이
808비어 노원점,0,0,#제로페이
최꼬치,3.8,5,"#혼술, #제로페이"
꼴목,3.5,6,#분위기좋은
몽당,4.2,10,"#고추장찌개, #노원감성주점, #노원데이트, #노원맛집, #노원역술집, #민속주점, #소개팅, #제로페이"
퀸즈램,2.7,11,"#친목모임, #제로페이"
3용이포차,5.0,1,"#대형스크린, #수제맥주"
포도,0,0,"#카카오페이, #제로페이"
철길부산집 노원점,3.2,13,"#오뎅바, #혼술"
산넨,5.0,7,
목삼화로,4.4,9,#회식장소
324탭하우스,0,0,#피맥
커피파는술집,4.7,9,"#세계맥주, #피맥, #제로페이"
귀족생골뱅이 노원직영점,3.5,2,"#노포, #친목모임"
곳 노원본점,3.4,15,"#분위기좋은, #제로페이"
술부엉이,0,0,#제로페이
삼용이네,5.0,1,
노원깡통,0,0,
두리네빈대떡,0,0,
용춘,4.0,6,"#노포, #분위기좋은, #중화포차, #제로페이"
울엄마연탄불곱창,0,0,#제로페이
더 고깃집,0,0,
관동식당,4.5,11,"#심야식당, #코스요리, #혼술, #제로페이"
땅코참숯구이 노원점,4.5,59,"#친목모임, #제로페이"
요기어때,5.0,1,
통닭마니아 노원역점,0,0,
이층포차 노원본점,0,0,
동선식당,4.6,16,"#가족모임, #레트로풍, #제로페이"
,21,,
샤브20 노원상계점,3.9,15,"#가족모임, #친목모임, #제로페이"
돈미향,5.0,1,
카레후카미&수제카츠,3.5,2,#혼밥
참숯소갈비살우왕불,3.1,15,"#가족모임, #친목모임"
대원집 별관,3.3,3,#점심식사
빼꼬빼꼬,0,0,
만나치킨,0,0,
목포홍탁오리탕,5.0,1,#제로페이
왕십리곱창구이,4.0,4,#제로페이
진심만두랑,0,0,
한우도가,0,0,"#닭칼국수, #도가니탕, #사골칼국수, #태릉칼국수집, #한우사골"
철호네고깃간,0,0,
정성반점,2.7,7,#배달
썬드림,0,0,
정일품식당,0,0,
세미,0,0,
달빛사냥,0,0,
우리동네아지트,4.5,2,"#이동약자접근, #제로페이"
장충족발보쌈,0,0,
뚝배기집,0,0,
프레드피자 노원점,0,0,
인비또,0,0,
피자나라치킨공주 서울상계점,2.2,5,#제로페이
맘모아국물떡볶이,3.5,2,#제로페이
풀잎,0,0,
호반닭갈비 노원점,3.7,3,"#가족모임, #노포, #점심식사, #점심특선, #제로페이"
이오,0,0,
달콤한진스쿡,0,0,"#카카오페이, #제로페이"
소나기,0,0,
야시,0,0,
테레비식당,5.0,1,#제로페이
닥치고떡볶이 상계점,0,0,
나주식당,0,0,
뚱가네닭발,0,0,
아이엠찌개,0,0,#제로페이
도로시파스타 노원점,5.0,1,#제로페이
찜닭명인 임금순 노원점,0,0,
솜사탕,0,0,
피자메카 상계점,0,0,
은정,0,0,
이모네불닭발,0,0,#제로페이
이삭,0,0,
유정,0,0,
러브,0,0,
빵굽는이야기 밀담,5.0,5,
고기극찬 노원점,0,0,
홈참치,0,0,
요리비아구찜 상계점,0,0,#제로페이
호세야오리바베큐 상계점,4.0,1,
나도람키친 노원본점,0,0,
1번지옛날통닭,4.0,3,
BHC치킨 상계대박점,3.2,17,#제로페이
나무그늘,0,0,
배달삼겹돼지되지 노원점,1.0,1,#제로페이
돈주참숯생고기,0,0,
투존치킨 노원본점,3.0,2,
모두의라면간식,0,0,"#카카오페이, #제로페이"
국밥참맛있는집 노원중계점,1.0,1,
인생닭강정 중계점,5.0,1,#제로페이
냉돈창고 노원중계점,0,0,
싹쓰리솥뚜껑삼겹살 상계점,3.7,7,#제로페이
원앤원피자&치킨,0,0,
이층소정육식당 상계역점,1.5,2,"#가족모임, #정육식당, #친목모임, #회식장소, #제로페이"
롯데리아 상계점,3.4,9,"#카카오페이, #제로페이"
은샘먹거리,0,0,
낙원떡집,5.0,1,#제로페이
국물명가전주콩나물국밥 상계역점,3.4,12,"#아침식사, #제로페이"
헤스론,0,0,"#노원답례품, #노원수제케이크, #바스크치즈케이크, #중계동디저트, #노원마들렌맛집, #선한영향력가게, #수제케이크, #카카오페이, #제로페이"
피자헛 중계본점,2.7,9,#제로페이
산골식당 중계본점,3.6,7,"#친목모임, #회식장소, #제로페이"
파리바게뜨 상계본점,4.4,7,"#카카오페이, #제로페이"
육회바른연어 상계점,4.0,2,"#점심특선, #혼술, #카카오페이, #제로페이"
갈비1번지,3.7,13,"#가족모임, #친목모임, #제로페이"
