가게 이름,별점,리뷰 수,태그들
오뎅이랑떡볶이랑,0,0,
카프리광장,0,0,#제로페이
메이콴,3.2,9,"#가족모임, #가족행사, #돌잔치, #상견례, #점심특선, #친목모임, #코스요리, #제로페이"
런던호프,0,0,
라화쿵부 방학점,4.0,3,"#혼밥, #카카오페이, #제로페이"
역전초밥,4.9,7,"#점심특선, #혼밥, #제로페이"
희희맘,0,0,"#가정식뷔페, #한식뷔페, #함바식당, #카카오페이, #제로페이"
동원민물장어,0,0,
소문난한우곰탕감자탕,5.0,1,"#가족모임, #혼밥, #회식장소"
반값소 도봉구청점,3.8,6,"#안심식당, #이동약자접근, #카카오페이, #제로페이"
대박이야통큰소,0,0,
히비끼 도봉,3.7,9,"#가족모임, #가족행사, #돌잔치, #상견례, #일식코스요리, #정갈한느낌, #친목모임, #회식장소"
아구야복받아라,4.5,6,"#정갈한느낌, #코스요리, #혼밥, #제로페이"
신의주찹쌀순대 도봉구청점,3.0,7,"#안심식당, #이동약자접근, #점심식사, #혼밥, #제로페이"
팔오소갈비살,5.0,2,"#회식장소, #제로페이"
뚜레쥬르 도봉구청점,3.8,4,"#카카오페이, #제로페이"
안다미로,5.0,2,#제로페이
죽이야기 도봉구청점,5.0,4,"#이동약자접근, #카카오페이, #제로페이"
춘하추동칼국수 도봉구청점,4.4,7,#제로페이
버거브라더,4.5,33,"#애견동반식당, #이동약자접근, #카카오페이, #제로페이"
황해도 해주곰탕찹쌀순대,2.3,3,"#안심식당, #24시간, #24시간식당, #노포, #점심식사, #제로페이"
싹쓰리 솥뚜껑김치삼겹살 방학점,5.0,2,"#회식장소, #제로페이"
역전할머니맥주 서울방학역점,4.6,7,#제로페이
황구농장,0,0,
일산칼국수닭한마리,0,0,
대한건어,0,0,"#가맥, #세계맥주, #술한잔하기좋은, #친목모임, #카카오페이, #제로페이"
아리랑보리밥쌈밥,0,0,
최가네양평해장국 도봉점,4.3,3,#제로페이
오늘통닭 도봉구청점,0,0,
을찌로국물떡볶이 도봉구청점,4.5,2,#제로페이
명가옛날통닭,0,0,#제로페이
더곱창37번가,3.8,4,"#분위기좋은, #친목모임, #제로페이"
비엣포베트남쌀국수,4.3,13,"#혼밥, #제로페이"
2010옛날통닭 상계점,5.0,2,#제로페이
한솥도시락 도봉구청점,4.2,6,"#안심식당, #카카오페이"
하이보루,0,0,
시골짚,0,0,"#점심식사, #혼밥, #제로페이"
명태 란 본점,0,0,
민나노키친 방학점,0,0,
동고집,0,0,
모노앤유디저트,0,0,"#디저트카페, #수제디저트, #수제청"
황제해물짬뽕,3.5,8,"#안심식당, #점심식사, #제로페이"
은행골 도봉점,3.6,27,"#안심식당, #제로페이"
옛날통닭1번지,4.8,4,"#치맥, #혼술, #제로페이"
모란봉베이커리,4.3,3,#제로페이
민들레김밥과분식,4.4,12,#제로페이
샬롬베이커리,5.0,2,#제로페이
모아분식,3.5,12,#제로페이
남도코다리찜아구찜탕,5.0,1,
가보아구찜탕,0,0,
피자애 도봉점,3.4,5,
민들레김밥가맹사업본부,0,0,
서원손칼국수,4.4,14,"#혼밥, #제로페이"
비비케이크,4.0,7,"#레터링케이크, #수제케이크, #케이크주문제작, #카카오페이, #제로페이"
아크찡,0,0,#카카오페이
교촌치킨 도봉동점,2.0,12,#제로페이
코리엔탈깻잎두마리치킨 상계1호점,5.0,2,
곳간,4.7,26,"#일본가정식, #점심식사, #혼밥, #회식장소, #제로페이"
나들다,5.0,1,#혼밥
함께밥상 도봉점,4.0,4,
명가통닭 상계점,5.0,4,#제로페이
종가청국장,0,0,#제로페이
황금족발 본점,4.5,10,#제로페이
아그집,0,0,"#한식뷔페, #함바식당"
체리부로 도봉점,5.0,1,
한울칡냉면,0,0,
오리큐 도봉점,5.0,1,#제로페이
이쁜이호프,0,0,
에이스외식산업 모락모락,0,0,#제로페이
샐러리아 도봉방학점,4.0,4,#건강식
수락이오냉면 본점,4.3,125,"#노원냉면맛집, #노원식당, #노포, #블루리본서베이, #수락산역만두맛집, #예스키즈존, #이동약자접근, #혼밥, #제로페이"
불밤 도봉점,0,0,
라니네,0,0,"#RANINE, #디저트, #라니네, #수제쿠키, #초콜릿, #돌잔치"
처갓집양념치킨 도봉점,4.3,3,#제로페이
아리랑우동집,0,0,
영동올갱이해장국,0,0,
우수리염소탕 도봉점,4.0,3,#제로페이
사랑담은김밥,0,0,
